ampl.tab 1 2
I	p	tilteddistribution
1	0.03271086164420483	0.025792052627798184
2	0.023130072087072174	0.01910707345272109
3	0.01888562477570626	0.016018061757351775
4	0.016355430822102415	0.014129153416511539
5	0.014628742047806509	0.012816252818320934
6	0.013354153345846569	0.011833172535126743
7	0.01236354358302962	0.01106012380348867
8	0.011565036043536087	0.010430763151505765
9	0.010903620548068276	0.009904933650421749
10	0.010344082702232766	0.009456691274072325
11	0.009862695876641394	0.009068415050380757
12	0.00944281238785313	0.00872765246515424
13	0.00907236068636837	0.008425314812240382
14	0.008742345507055669	0.008154588627324481
15	0.008445908159206685	0.007910249703930668
16	0.008177715411051207	0.0076882146055247454
17	0.007933549274354228	0.00748523810573583
18	0.007710024029024057	0.007298703479862629
19	0.0075043863296436605	0.007126473691791438
20	0.0073143710239032544	0.006966783589611059
21	0.007138095215799823	0.00681816036904466
22	0.006973979135153732	0.006679363929353347
23	0.006820686149043412	0.006549341488664442
24	0.006677076672923284	0.006427192591695037
25	0.006542172328840966	0.006312141805825106
26	0.006415127762701314	0.0062035171829226245
27	0.006295208258568754	0.0061007330990758375
28	0.006181771791514811	0.006003276456454045
29	0.00607425451508337	0.00591069549435184
30	0.005972158932653837	0.005822590644745742
31	0.005875044185163455	0.0057386070042985855
32	0.0057825180217680435	0.0056584280950466295
33	0.005694230119314321	0.005581770660460119
34	0.005609866490773488	0.005508380299406803
35	0.005529144778887111	0.005438027782825042
36	0.005451810274034139	0.005370505930209575
37	0.005377632528192928	0.005305626947890768
38	0.005306402462334659	0.005243220150403307
39	0.005237929884460156	0.005183130001347249
40	0.005172041351116382	0.005125214422042874
41	0.005108578317593182	0.005069343325714437
42	0.005047395531847307	0.005015397342463951
43	0.004988359635088871	0.004963266706336557
44	0.004931347938320697	0.004912850280653635
45	0.004876247349268836	0.004864054701745995
46	0.004822953428333754	0.004816793624445425
47	0.004771369555620742	0.004770987055337228
48	0.004721406193926565	0.004726560761953669
49	0.004672980234886404	0.004683445747888785
50	0.004626014417414435	0.004641577785310827
51	0.004580436809177575	0.0046008969975957735
52	0.004536180343184185	0.0045613474858496135
53	0.004493182402695516	0.0045228769939645455
54	0.004451384448615523	0.004485436607594217
55	0.004410731684315407	0.0044489804830592505
56	0.004371172753527834	0.004413465602725857
57	0.004332659467522716	0.004378851553853
58	0.0042951465582684555	0.00434510032829026
59	0.004258591454703428	0.004312176140739734
60	0.004222954079603342	0.0042800452635799275
61	0.004188196664840626	0.004248675876494507
62	0.0041542835830996735	0.00421803792936065
63	0.004121181194343208	0.00418810301703473
64	0.0040888577055256045	0.004158844264832226
65	0.004057283042223266	0.004130236223636947
66	0.00402642873100384	0.004102254773695271
67	0.003996267791488481	0.004074877036256365
68	0.003966774637177114	0.004048081292311669
69	0.003937924984208164	0.004021846907767682
70	0.003909695767313269	0.003996154264457306
71	0.003882065062305912	0.00397098469645759
72	0.003855012014512029	0.00394632043123693
73	0.003828516772611639	0.003922144535203688
74	0.0038025604274145785	0.0038984408632714053
75	0.003777124955141253	0.003875194012094078
76	0.0037521931648218307	0.0038523892766592735
77	0.003727748649465042	0.003830012609956825
78	0.0037037757406814457	0.0038080505854682463
79	0.003680259466476	0.003786490362245912
80	0.0036571855119516277	0.003765319652372692
81	0.0036345401826894247	0.0037445266906120473
82	0.003612310370592703	0.0037241002060759217
83	0.0035904835220012883	0.003704029395753269
84	0.003569047607899912	0.003684303899756102
85	0.003547991096060036	0.003664913778152466
86	0.0035273029249685926	0.0036458494892671546
87	0.0035069724794096835	0.003627101869341137
88	0.0034869895675768646	0.003608662113450034
89	0.0034673443996038476	0.0035905217575902286
90	0.003448027567410921	0.0035726726618488685
91	0.003429030025772852	0.0035551069945808605
92	0.0034103430745217054	0.0035378172175222
93	0.0033919583418050656	0.003520796071774638
94	0.003373867768326471	0.003504036564601926
95	0.0033560635925006747	0.0034875319569824077
96	0.0033385383364616422	0.003471275751867279
97	0.0033212847928659763	0.003455261683097459
98	0.0033042960124388815	0.003439483704935815
99	0.003287565292213798	0.0034239359821746163
100	0.0032710861644204836	0.0034086128807811656
101	0.0032548523859797273	0.003393508959047219
102	0.0032388579285659354	0.003378618959210418
103	0.0032230969692016403	0.003363937799518128
104	0.0032075638813506575	0.0033494605667063588
105	0.0031922532264788872	0.0033351825088682174
106	0.0031771597460540646	0.003321099028688284
107	0.003162278353957703	0.0033072056770208497
108	0.0031476041292843766	0.003293498146791557
109	0.003133132309505176	0.0032799722672032425
110	0.0031188582839737863	0.0032666239982283153
111	0.0031047775877550755	0.003253449425370929
112	0.003090885895757406	0.0032404447546835243
113	0.003077179017151207	0.0032276063080232138
114	0.003063652890057408	0.003214930518534498
115	0.0030503035764904655	0.00320241392634559
116	0.0030371272575416856	0.003190053174466596
117	0.0030241202287894565	0.003177845004878378
118	0.0030112788959238777	0.003165786254801716
119	0.0029985997705740328	0.0031538738531370443
120	0.002986079466326919	0.003142104817065611
121	0.0029737146949277114	0.003130476248803467
122	0.002961502262651688	0.0031189853325002577
123	0.00294943906683871	0.0031076293312751837
124	0.002937522092581727	0.003096405584383103
