ampl.tab 1 2
I	p	tilteddistribution
1	0.3679369250985546	0.28713364547434034
2	0.1839684625492773	0.17687311224126306
3	0.12264564169951818	0.13149993412559152
4	0.09198423127463864	0.10602578205552529
5	0.07358738501971092	0.08948445834313855
6	0.06132282084975909	0.07778192651176867
7	0.05256241787122208	0.06901812688247176
8	0.04599211563731932	0.06218301436590086
