ampl.tab 1 2
I	p	tilteddistribution
1	0.9239384197832141	0.6859891078536255
2	0.05774615123645088	0.1907305249650915
3	0.011406647157817458	0.06296367432106192
4	0.00360913445227818	0.026240917068051824
5	0.0014783014716531432	0.012857799103922918
6	0.0007129154473635911	0.007056388925661141
7	0.00038481400240866884	0.004206974424595763
8	0.00022557090326738626	0.0026710309971280624
9	0.00014082280441749946	0.0017815872034085062
10	9.239384197832145e-05	0.0012364127093255973
11	6.310623726406763e-05	0.0008864853231279
12	4.4557215460224444e-05	0.0006531437610969618
13	3.234965231550766e-05	0.0004924709956117642
14	2.4050875150541802e-05	0.0003787653423032877
15	1.8250635452507935e-05	0.0002963752684926577
16	1.4098181454211641e-05	0.00023543461648751544
17	1.1062348628287665e-05	0.00018953593165154197
18	8.801425276093716e-06	0.00015440745741029753
19	7.089712477522531e-06	0.00012713437647507024
20	5.774615123645091e-06	0.00010568607205233996
21	4.750790153193442e-06	8.862168883893007e-05
22	3.944139829004227e-06	7.490143995665052e-05
23	3.301654938994693e-06	6.376356255716413e-05
24	2.7848259662640278e-06	5.464219663630285e-05
25	2.365282354645028e-06	4.7111772721148295e-05
26	2.0218532697192287e-06	4.0848302278255194e-05
27	1.7385531409567835e-06	3.560266503604752e-05
28	1.5031796969088626e-06	3.1181320292072634e-05
29	1.3063243884442165e-06	2.7432551558501438e-05
30	1.140664715781746e-06	2.423638309391115e-05
31	1.0004519873215811e-06	2.1497203004479655e-05
32	8.811363408882276e-07	1.913827621238615e-05
33	7.790893489391067e-07	1.7097556896666855e-05
34	6.91396789267979e-07	1.5324506281753047e-05
35	6.157024038538702e-07	1.3777806730100286e-05
36	5.500890797558573e-07	1.2423419385271065e-05
37	4.929877528041691e-07	1.123313980485258e-05
38	4.4310702984515817e-07	1.0183519917964601e-05
39	3.9937842364824254e-07	9.254929433152679e-06
40	3.6091344522781816e-07	8.430891945469627e-06
41	3.2696976842104274e-07	7.69749583174447e-06
42	2.969243845745901e-07	7.042954939927983e-06
43	2.702521789900067e-07	6.457237161098576e-06
44	2.465087393127642e-07	5.9317787233488595e-06
45	2.2531648706799917e-07	5.459240947409249e-06
46	2.0635343368716832e-07	5.03331069744574e-06
47	1.8934402059954617e-07	4.648543467109838e-06
48	1.7405162289150173e-07	4.300220328434903e-06
49	1.6027238750881663e-07	3.9842469999259745e-06
50	1.4783014716531425e-07	3.6970644920067586e-06
51	1.3657220528750206e-07	3.4355603888484658e-06
52	1.263658293574518e-07	3.1970029986821988e-06
53	1.1709532280518945e-07	2.9790065196379943e-06
54	1.0865957130979897e-07	2.779463288126208e-06
55	1.0096997962250819e-07	2.596518104965795e-06
56	9.394873105680392e-08	2.4285318233310125e-06
57	8.752731453731522e-08	2.2740486044217363e-06
58	8.164527427776353e-08	2.131778481590558e-06
59	7.624914531994337e-08	2.0005727347051214e-06
60	7.129154473635912e-08	1.87940708362114e-06
61	6.67303936094033e-08	1.7673699752788803e-06
62	6.252824920759882e-08	1.6636418237435812e-06
63	5.8651730286338794e-08	1.5674860624795158e-06
64	5.507102130551422e-08	1.4782479239808783e-06
65	5.175944370481226e-08	1.3953334040804633e-06
66	4.869308430869417e-08	1.3182085986765015e-06
67	4.585047252622888e-08	1.2463921242845974e-06
68	4.321229932924869e-08	1.1794485023177454e-06
69	4.076117208635425e-08	1.1169835643377001e-06
70	3.848140024086689e-08	1.0586401842161272e-06
71	3.635880758078201e-08	1.0040941334076366e-06
72	3.438056748474108e-08	9.530506886881515e-07
73	3.253505806163184e-08	9.052415036798466e-07
74	3.081173455026057e-08	8.604222736188873e-07
75	2.9201016724012704e-08	8.183695762913903e-07
76	2.7694189365322386e-08	7.788800575190384e-07
77	2.628331414580077e-08	7.417670144874605e-07
78	2.496115147801516e-08	7.068597576871075e-07
79	2.3721091100765978e-08	6.740018909153322e-07
80	2.2557090326738635e-08	6.430496219090075e-07
81	2.1463619024157817e-08	6.138711349132213e-07
82	2.043561052631517e-08	5.863473782752116e-07
83	1.9468417767733802e-08	5.60359255695806e-07
84	1.855777403591188e-08	5.358110616375965e-07
85	1.769975780526026e-08	5.126055763709668e-07
86	1.689076118687542e-08	4.906548400740872e-07
87	1.6127461585731073e-08	4.698777855629785e-07
88	1.5406796207047762e-08	4.5019951990123426e-07
89	1.4725939097126194e-08	4.315505050032203e-07
90	1.4082280441749948e-08	4.138666861463934e-07
91	1.3473407878178954e-08	3.970876950217751e-07
92	1.289708960544802e-08	3.8115859989886883e-07
93	1.2351259102735576e-08	3.660279817272328e-07
94	1.1834001287471636e-08	3.5164787855761654e-07
95	1.1343539964036053e-08	3.379738395592749e-07
96	1.0878226430718858e-08	3.249642175203622e-07
97	1.0436529127387965e-08	3.1258044695971383e-07
98	1.001702421930104e-08	3.007867685510581e-07
99	9.61838702393959e-09	2.8954963798741744e-07
100	9.239384197832141e-09	2.788363457867513e-07
101	8.878866609241821e-09	2.6861947798725236e-07
102	8.535762830468879e-09	2.5887045595977885e-07
103	8.209073190490743e-09	2.495630214214136e-07
104	7.897864334840737e-09	2.4067591737980435e-07
105	7.601264245109512e-09	2.3218358784783783e-07
106	7.3184576753243405e-09	2.2406617044374748e-07
107	7.048681966793704e-09	2.1630367535081224e-07
108	6.791223206862435e-09	2.0887773946929665e-07
109	6.545412700461677e-09	2.0177046933396772e-07
110	6.310623726406762e-09	1.949651612197878e-07
111	6.0862685531378884e-09	1.8844842710979385e-07
112	5.871795691050245e-09	1.8220351313496114e-07
113	5.666687360755346e-09	1.7621756987950903e-07
114	5.470457158582201e-09	1.7047781003681337e-07
115	5.282647902391511e-09	1.6497188465129799e-07
