ampl.tab 1 2
I	p	tilteddistribution
203	9.944652342350061e-08	1.4689377229156808e-06
204	9.799123170281939e-08	1.4489097548105348e-06
205	9.656419751345274e-08	1.4292577897985809e-06
206	9.516473832245889e-08	1.4099994584850079e-06
207	9.379219128480772e-08	1.391014914642407e-06
208	9.244591258399733e-08	1.3724034522580948e-06
209	9.112527679778924e-08	1.3541380464428522e-06
210	8.9829676287991e-08	1.336196423293902e-06
211	8.855852061326453e-08	1.3185743536944717e-06
212	8.731123596398834e-08	1.3012653647741854e-06
213	8.608726461824562e-08	1.2842417478344963e-06
214	8.488606441805351e-08	1.2675588063244399e-06
215	8.370710826499146e-08	1.2512585503079911e-06
216	8.254988363442243e-08	1.2350287634936886e-06
217	8.141389210754109e-08	1.2191501848717602e-06
218	8.029864892051495e-08	1.2035949905959195e-06
219	7.920368253002028e-08	1.1883036424452776e-06
220	7.812853419450453e-08	1.1732344065706852e-06
221	7.707275757053798e-08	1.158476673518031e-06
222	7.603591832364545e-08	1.1439516655164735e-06
223	7.501759375303692e-08	1.1296530002292572e-06
224	7.401737242968005e-08	1.11560589304405e-06
225	7.303485384718437e-08	1.1017934258290832e-06
226	7.206964808498843e-08	1.088207672331945e-06
227	7.112137548336493e-08	1.074852733989599e-06
228	7.018966632977862e-08	1.0617299007134336e-06
229	6.927416055615375e-08	1.0487990096156027e-06
230	6.837450744662486e-08	1.036087173334839e-06
231	6.749036535536512e-08	1.0235846333463332e-06
232	6.662140143410294e-08	1.0112835243122954e-06
233	6.576729136895353e-08	9.991817664069236e-07
234	6.492771912620939e-08	9.8728542257375e-07
235	6.410237670674779e-08	9.755723229095632e-07
236	6.329096390872823e-08	9.640496769522099e-07
237	6.249318809826585e-08	9.527042948829079e-07
238	6.17087639877813e-08	9.415475193018511e-07
239	6.09374134217383e-08	9.305553593215901e-07
240	6.017886516949395e-08	9.197411026227624e-07
241	5.943285472499626e-08	9.090905695455445e-07
242	5.8699124113076306e-08	8.986073037684764e-07
243	5.797742170209094e-08	8.882990234200121e-07
244	5.7267502022683384e-08	8.781456290140853e-07
245	5.656912559243749e-08	8.68145571386573e-07
246	5.588205874621109e-08	8.582942234770426e-07
247	5.520607347194241e-08	8.486009913042728e-07
248	5.454094725173161e-08	8.390534490372801e-07
249	5.3886462908007526e-08	8.296499506305698e-07
250	5.324240845459741e-08	8.203882139291907e-07
251	5.260857695252447e-08	8.112816051731326e-07
252	5.198476637036514e-08	8.022782594080465e-07
253	5.1370779449004366e-08	7.934379138264877e-07
254	5.076642357063378e-08	7.847068590025494e-07
255	5.017151063184352e-08	7.761153633591964e-07
256	4.9585856920664574e-08	7.676350417018644e-07
