ampl.tab 1 2
I	p	tilteddistribution
1	0.6093713626619695	0.38311690300114093
2	0.15234284066549236	0.15935045448815716
3	0.06770792918466327	0.08942722569272497
4	0.03808571016637309	0.05811279541550176
5	0.024374854506478784	0.041184710589413816
6	0.016926982296165818	0.03091108083473971
7	0.012436150258407538	0.02416631654930106
8	0.009521427541593273	0.019478844986230967
9	0.007523103242740363	0.016077454787620193
10	0.006093713626619696	0.013524080428517094
11	0.005036126964148509	0.011554079429492905
12	0.004231745574041454	0.00999944772135439
13	0.0036057477080589915	0.008749276403822292
14	0.0031090375646018846	0.0077277053524888745
15	0.002708317167386531	0.006881111088076479
16	0.002380356885398318	0.006171198065345017
17	0.002108551427896088	0.005569411204952459
18	0.0018807758106850908	0.00505458847294177
19	0.0016880093148531007	0.004610384279994792
20	0.001523428406654924	0.004224255130352991
21	0.0013817944731563932	0.003886328067406674
22	0.0012590317410371271	0.003588761870521992
23	0.001151930742272154	0.0033252641734679124
24	0.0010579363935103636	0.0030907416887508555
25	0.0009749941802591512	0.0028810184237504227
26	0.0009014369270147479	0.002692656487517191
27	0.0008359003603044848	0.002522803298619714
28	0.0007772593911504712	0.0023690789705160423
29	0.0007245795037597734	0.002229457096755488
30	0.0006770792918466327	0.0021021835616888544
31	0.0006341013139042345	0.001985942450107801
32	0.0005950892213495795	0.001879358574698764
33	0.0005595696626831677	0.0017814132071550723
34	0.000527137856974022	0.0016911984326655463
35	0.0004974460103363016	0.0016078936041258683
36	0.0004701939526712727	0.001530799440656143
37	0.00044512152130165786	0.0014593015816675642
38	0.0004220023287132752	0.0013928685560194835
39	0.00040063863422877674	0.0013310173984392411
40	0.000380857101663731	0.001273324666059063
41	0.000362505272255782	0.0012194230823753573
42	0.0003454486182890983	0.0011689851821355952
43	0.0003295680706662896	0.0011217140419742457
44	0.0003147579352592818	0.001077350487375392
45	0.00030092412970961457	0.0010356511575251445
46	0.0002879826855680385	0.0009964063820736024
47	0.0002758584711009368	0.000959409659369012
48	0.0002644840983775909	0.0009245251127070298
49	0.0002537989848654599	0.0008915748091546839
50	0.0002437485450647878	0.0008603963898939097
51	0.00023428349198845424	0.0008308698860533331
52	0.00022535923175368697	0.0008028862024015936
53	0.00021693533736631164	0.0007763413898367198
54	0.0002089750900761212	0.0007511347923498753
55	0.00020144507856594031	0.0007271755198545196
56	0.0001943148477876178	0.0007043807998235647
57	0.00018755659053923344	0.0006826751020334905
58	0.00018114487593994335	0.0006619890882624184
59	0.00017505640984256523	0.0006422587052992184
60	0.00016926982296165818	0.0006234249468209933
61	0.00016376548311259595	0.0006054333340851142
62	0.00015852532847605863	0.0005882335492134911
63	0.00015353271923959925	0.0005717794272226457
64	0.00014877230533739489	0.000556027811379412
65	0.00014422990832235966	0.0005409386718456424
66	0.00013989241567079192	0.0005264745738310469
67	0.0001357476860463287	0.0005126007744600807
68	0.0001317844642435055	0.0004992851117164485
69	0.000127992304696906	0.00048649760235380357
70	0.0001243615025840754	0.0004742102736366943
71	0.00012088303167267794	0.0004623969203929197
72	0.00011754848816781817	0.0004510330963592418
73	0.00011435003990654334	0.00044009593368765746
74	0.00011128038032541446	0.00042956401812992514
75	0.00010833268669546126	0.00041941720301077605
76	0.0001055005821783188	0.0004096366598955745
77	0.00010277810130915324	0.000400204671386791
78	0.00010015965855719418	0.00039110468794752563
79	9.764001965421718e-05	0.00038232061681301143
80	9.521427541593275e-05	0.0003738384574979395
81	9.287781781160942e-05	0.0003656440582974675
82	9.06263180639455e-05	0.00035772456081108384
83	8.845570658469583e-05	0.00035006702033719636
84	8.636215457227457e-05	0.00034266009286706186
85	8.434205711584352e-05	0.00033549328941567016
86	8.23920176665724e-05	0.00032855549126807566
87	8.050883375108595e-05	0.0003218371319738355
88	7.868948381482045e-05	0.0003153288789035188
89	7.693111509430241e-05	0.0003090220004737205
90	7.523103242740364e-05	0.00030290810560302194
91	7.358668791957125e-05	0.0002969793089023104
92	7.199567139200962e-05	0.00029122804874332544
93	7.045570154491498e-05	0.00028564722581797737
94	6.89646177752342e-05	0.0002802300592424683
95	6.752037259412404e-05	0.00027497012566083404
96	6.612102459439773e-05	0.0002698612959105465
97	6.476473192283658e-05	0.00026489771232945464
98	6.344974621636498e-05	0.00026007389819569435
99	6.217440696479641e-05	0.00025538457814835335
100	6.093713626619695e-05	0.0002508246386697955
101	5.973643394392408e-05	0.0002463893232508022
102	5.857087299711356e-05	0.00024207415056993654
103	5.743909535884338e-05	0.00023787470539352433
104	5.633980793842174e-05	0.00023378671918049013
105	5.5271778926255744e-05	0.000229806281418866
106	5.423383434157791e-05	0.00022592960736389733
107	5.322485480495846e-05	0.00022215324743357872
108	5.22437725190303e-05	0.00021847337743018374
109	5.12895684422161e-05	0.00021488696013052724
110	5.036126964148508e-05	0.00021139053526377926
111	4.9457946811295305e-05	0.00020798152293006572
112	4.857871194690445e-05	0.00020465658090562108
113	4.7722716161169194e-05	0.00020141298595589783
114	4.688914763480836e-05	0.00019824818775377435
115	4.607722969088616e-05	0.00019515968377473736
116	4.528621898498584e-05	0.0001921446133764455
117	4.451540380319743e-05	0.0001892010259462946
118	4.3764102460641306e-05	0.00018632650560752127
119	4.3031661793797716e-05	0.00018351890947012012
120	4.2317455740414545e-05	0.00018077613151067903
121	4.162088400122735e-05	0.00017809614912324366
122	4.094137077814899e-05	0.00017547704750706263
123	4.0278363583975775e-05	0.00017291696384815237
124	3.963133211901466e-05	0.00017041410532359717
125	3.899976721036604e-05	0.0001679667659492258
126	3.8383179809899814e-05	0.00016557314405443678
127	3.7781100047242195e-05	0.00016323200365454569
128	3.719307633434872e-05	0.00016094142072634938
129	3.6618674518476624e-05	0.0001586998885077176
130	3.6057477080589915e-05	0.00015650659912557757
131	3.550908237643316e-05	0.00015435960910685362
132	3.497310391769798e-05	0.0001522578501028722
133	3.444916969087961e-05	0.000150199922172344
134	3.393692151158217e-05	0.00014818461374398227
135	3.34360144121794e-05	0.00014621071888346184
136	3.2946116060876376e-05	0.0001442769946166694
137	3.246690621034522e-05	0.0001423827442940087
138	3.19980761742265e-05	0.00014052689781932632
139	3.153932832989853e-05	0.00013870758155193658
140	3.109037564601885e-05	0.00013692440028167767
141	3.065094123343742e-05	0.00013517600086378724
142	3.0220757918169484e-05	0.00013346215010637464
143	2.9799567835198272e-05	0.00013178212517568727
144	2.9387122041954543e-05	0.000130134172605876
145	2.898318015039094e-05	0.0001285173902623384
146	2.8587509976635834e-05	0.00012693228511481114
147	2.819988720727333e-05	0.00012537662149215628
148	2.7820095081353616e-05	0.000123849648432774
149	2.744792408729199e-05	0.0001223522792717399
150	2.7083171673865314e-05	0.000120881916523944
151	2.672564197456118e-05	0.00011943863587400542
152	2.63751455445797e-05	0.00011802200948841803
153	2.603149910982825e-05	0.00011663137311802109
154	2.569452532728831e-05	0.00011526531440686846
155	2.5364052556169387e-05	0.00011392403457051415
156	2.5039914639298546e-05	0.00011260614396789154
157	2.472195069422571e-05	0.00011131260243185215
158	2.4410004913554296e-05	0.00011004162532551167
159	2.410392637403463e-05	0.0001087927129917098
160	2.3803568853983187e-05	0.00010756556001257696
161	2.3508790658615385e-05	0.00010635943537892896
162	2.3219454452902355e-05	0.00010517367776340449
163	2.293542710158341e-05	0.00010400916132451706
164	2.2656579515986374e-05	0.00010286401351308351
165	2.2382786507326705e-05	0.00010173826721155098
166	2.2113926646173957e-05	0.00010063099424877121
167	2.1849882127791227e-05	9.954213836093782e-05
168	2.1590538643068643e-05	9.847155491145903e-05
169	2.133578525478693e-05	9.741882674199327e-05
170	2.108551427896088e-05	9.638365584690709e-05
171	2.0839621171025934e-05	9.536527801154417e-05
172	2.05980044166431e-05	9.43630138056184e-05
173	2.0360565426909332e-05	9.337684832896271e-05
174	2.0127208437771487e-05	9.240642604790617e-05
175	1.9897840413452063e-05	9.145151816405065e-05
176	1.967237095370511e-05	9.051221125848196e-05
